x_value,total_1,total_2
0,1000,1000
1,1004,1004
2,1011,999
3,1009,1002
4,1011,1006
5,1008,1008
6,1004,1013
7,1007,1010
8,1010,1015
9,1018,1020
10,1020,1024
11,1017,1022
12,1022,1022
13,1023,1020
14,1031,1026
15,1032,1032
16,1039,1031
17,1039,1030
18,1043,1036
19,1045,1042
20,1044,1048
21,1050,1048
22,1046,1050
23,1045,1055
24,1048,1059
25,1051,1054
26,1049,1058
27,1055,1053
28,1056,1051
29,1063,1054
30,1062,1054
31,1070,1054
32,1076,1059
33,1078,1056
34,1082,1053
35,1081,1056
36,1078,1051
37,1078,1056
38,1082,1057
39,1077,1062
40,1079,1059
41,1076,1062
42,1075,1061
43,1071,1059
44,1070,1064
45,1074,1062
46,1069,1059
47,1076,1065
48,1076,1067
49,1077,1068
50,1080,1074
51,1083,1075
52,1080,1072
53,1081,1078
54,1085,1084
55,1080,1088
56,1081,1085
57,1076,1085
58,1073,1085
59,1072,1085
60,1077,1084
61,1083,1087
62,1086,1093
63,1090,1099
64,1089,1105
65,1095,1106
66,1097,1111
67,1091,1106
68,1097,1107
69,1091,1104
70,1094,1106
71,1100,1112
72,1108,1107
73,1106,1107
74,1101,1106
75,1095,1101
76,1092,1102
77,1089,1101
78,1086,1099
79,1088,1095
80,1084,1096
81,1081,1096
82,1088,1094
83,1093,1094
84,1097,1092
85,1103,1093
86,1099,1096
87,1098,1097
88,1100,1092
89,1094,1093
90,1094,1092
91,1088,1097
92,1083,1093
93,1077,1094
94,1074,1091
95,1078,1096
96,1073,1101
97,1077,1103
98,1077,1102
99,1073,1101
100,1072,1104
101,1074,1109
102,1080,1105
103,1082,1105
104,1080,1108
105,1086,1104
106,1092,1109
107,1088,1110
108,1083,1109
109,1091,1107
110,1098,1104
111,1094,1109
112,1094,1110
113,1100,1106
114,1099,1101
115,1093,1106
116,1087,1102
117,1087,1104
118,1091,1102
119,1097,1099
120,1102,1096
121,1109,1100
122,1115,1099
123,1113,1098
124,1111,1094
125,1106,1099
126,1112,1101
127,1106,1102
128,1106,1104
129,1110,1109
130,1111,1114
131,1112,1115
132,1118,1113
133,1116,1115
134,1115,1120
135,1111,1122
136,1112,1122
137,1114,1119
138,1111,1116
139,1119,1119
140,1120,1125
141,1116,1129
142,1112,1124
143,1106,1126
144,1108,1128
145,1107,1131
146,1102,1133
147,1102,1137
148,1103,1140
149,1110,1142
150,1114,1140
151,1122,1141
152,1119,1144
153,1117,1147
154,1113,1146
155,1118,1152
156,1116,1152
157,1113,1158
158,1109,1157
159,1109,1153
160,1113,1152
161,1108,1151
162,1112,1151
163,1112,1147
164,1113,1148
165,1108,1149
166,1105,1153
167,1108,1148
168,1109,1153
169,1111,1159
170,1117,1160
171,1117,1161
172,1115,1163
173,1114,1160
174,1121,1166
175,1129,1161
176,1137,1166
177,1132,1169
178,1128,1166
179,1131,1165
180,1134,1163
181,1130,1167
182,1138,1168
183,1134,1163
184,1142,1159
185,1145,1154
186,1144,1155
187,1145,1160
188,1149,1160
189,1145,1162
190,1143,1164
191,1148,1161
192,1147,1159
193,1142,1154
194,1139,1149
195,1140,1152
196,1138,1153
197,1143,1159
198,1144,1165
199,1148,1168
200,1147,1171
201,1143,1171
202,1148,1176
203,1142,1171
204,1136,1172
205,1143,1176
206,1141,1180
207,1141,1182
208,1137,1178
209,1132,1183
210,1135,1183
211,1135,1189
212,1132,1187
213,1140,1191
214,1148,1195
215,1146,1199
216,1148,1203
217,1150,1204
218,1155,1208
219,1151,1206
220,1145,1203
221,1149,1200
222,1145,1204
223,1145,1204
224,1142,1200
225,1143,1196
226,1139,1192
227,1134,1192
228,1129,1191
